SITE_CURRENCY,$
USER_REGISTRATION_AGREEMENT,Kullan?c? Kay?t Anla?ma
VIEW_RIGHTS_MANAGEMENT,GîrÅnÅm Haklar Yînetimi
WITHDRAW_ADDRESS_MANAGEMENT,Adres Yînetimi geri áek
REPAIR_ANY_CONTENT,herhangi bir iáeri?i Onar?m
WALLET_ADDRESS_MANAGEMENT,CÅzdan adresi yînetimi
WALLET_TRANSACTIONS,CÅzdan i?lemleri
SELECT_WITHDRAWALS_ADDRESS,Seá áekme adresi
INTO_DIGITAL_ASSETS,mevduat paralar
CONTACT_TENCENT_MICROBLOGGING,?leti?im Tencent mikroblog
WAITING_FOR_THE_FIRST_PRIZE,?lk îdÅl bekliyorum
USER_REGISTRATION_REPORT,Kullan?c? Kayd? Raporu
DETAILED_FINANCIAL_RECORDS,Ayr?nt?l? mali kay?tlar
CLICK_FOR_LARGER_IMAGE,Daha bÅyÅk resim iáin t?klay?n
COMPARE_LOCAL_FILE,Kar??la?t?rma yerel dosya
HERE_DEMO_CLOSE,??te Demosu yak?n
RECORD_AMOUNT,Tutanak tutar
THE_MINIMUM_NUMBER_OF_ROLLOUT,Cayma minimum say?s?d?r
THE_MINIMUM_RECHARGE_AMOUNT,Asgari ?arj miktar?
THE_MAXIMUM_NUMBER_OF_ROLLOUT,Äekilme say?s?
THE_MAXIMUM_AMOUNT_OF_RECHARGE,?arj azami miktar?
LAST_LOGIN_TIME,Son giri? zaman?
NEW_LOGIN_PASSWORD,Yeni giri? ?ifresi:
NEW_MARKET_COMMISSION,New Market komisyonu
NEW_TRADING_PASSWORD,Yeni Fon ?ifre:
ALIPAY_ACCOUNT,Alipay hesab?
FEE_CHART,Åcret ?emas?
MOBILE_TWODIMENSIONAL_CODE,Mobil iki boyutlu kod
ADVERTISING_MANAGEMENT_SECTOR,Reklam yînetimi sektîrÅ
ADVERTISING_SECTOR_LIST,Reklam sektîrÅ listesi
BLOCK_HAS_BEEN_LOADED,Blok yÅklenmi?
OFFICIAL_LINKS_CUSTOMER_SERVIC,Resmi Linkler MÅ?teri Hizmetleri
ENTER_SUBMIT_CHAT,Sohbet gîndermek girin
LOGIN_FAILED,Giri? ba?ar?s?z
USER_DOES_NOT_EXISTS,Kullan?c? de?il mevcut does
CHANGE_MY_PASSWORD,?ifremi De?i?tir
TWO_DECIMAL_PLACES,?ki ondal?k
MORE_THAN_THE_PAYMENT_AMOUNT,ôdeme miktardan daha fazla
MOST_SELL_TODAY,Äo?u satmak bugÅn
TRADING_INTERFACE_DISPLAY,Ticaret arayÅzÅ ekran
THE_PROPORTION_OF_SECONDGENERA,ikinci nesil hediye oran?
AUDIT_WORKING_DAYS,Denetim áal??ma gÅnÅ
DO_NOT_RESUBMIT,de?il yeniden gînderirim
THREE_GENERATIONS_PROPORTION_G,öá nesil oran hediye
THE_PROPORTION_OF_A_GENERATION,Bir ku?ak hediye oran?
HOME_RISK_WARNING,Ev Risk Uyar?s?
ESTIMATED_TOTAL_ASSETS,Tahmini Toplam aktifler:
HIGH_TO_LOW_SALES,DÅ?Åk Sat?? YÅksek
SALES_FROM_LOW_TO_HIGH,YÅksek Sat?? DÅ?Åk
WHITE_PAPER_CHAIN_SWIM_SHARES,Beyaz Ka??t zincir yÅzmek paylar?
WALLET_ACCUMULATED_BALANCE,CÅzdan birikmi? bakiyesi
RESET_TABLE_ELEMENTS,S?f?rlama tablo elemanlar?
RESET_FORM_ELEMENTS,Formu s?f?rla elemanlar?
RESET_LIST_ELEMENTS,S?f?rlama liste elemanlar?
CONFIGURING_AUTHENTICATION,yap?land?rma kimlik
SELECT_THE_RECHARGE_AMOUNT,?arj? miktar?n? seáin
CHOOSE_THE_PAYMENT_METHOD,îdeme yîntemi seámek
INTO_A_TOTAL_GIFT,toplam hediye iáine
TRANSFERRED_TO_THIS_ADDRESS,Bu adrese Aktar?lan:
DO_NOT_REPEAT_CLICKS,t?klamalar? tekrarlamay?n
SET_THE_DEFAULT_FONT,varsay?lan yaz? tipini ayarlama
SET_THE_AUTHENTICATION_MODE,Kimlik do?rulama modunu ayarlama
SET_UP_TWOFACTOR_AUTHENTICATIO,2FA Kur
CONTACT_TWITTER,heyecan
ONLINE_BANKING_REMITTANCE,Äevrimiái bankac?l?k havale
RECHARGE_ONLINE_BANKING_INFORM,?arj online bankac?l?k bilgileri
WEBSITE_USERS_HOLD_OUT,Web sitesi kullan?c?lar? uzatmak
SET_SITE_NAME,Set site ad?
NET_OF_TRANSACTION_NOTIFICATIO,i?lem bildiriminin Net
TEXT_EDITING_TIPS,Metin dÅzenleme ipuálar?
EDITING_BACKEND_USERS,arka uá kullan?c?lar? dÅzenleme
EDIT_PAYMENT_METHOD,ôdeme yîntemini dÅzenleme
UNIFIED_WIDTH_FONT,Birle?tirilmi? geni?li?i yaz?
THE_CUMULATIVE_NUMBER_OF_TRANS,Toplam i?lem say?s?
RATING_UPGRADE_ORDER,YÅkseltme dÅzeni Puanlama
NO_ACCESS_REASON,Hay?r Eri?im nedeni
SMS_APPLICATION_ADDRESS,SMS Ba?vuru Adresi
SMS_INTERFACE_NAME,SMS arayÅzÅ ad?
TO_DISPLAY_A_SINGLE_PAGE,Tek bir sayfay? gîrÅntÅlemek iáin
FINANCIAL_REWARD_CYCLE,Finansal ôdÅl dîngÅsÅ
VERSION_NAME_OF_THE_VERSION_NU,SÅrÅm numaras?n?n SÅrÅm ad?
CLICK_SIGN_UP_NOW,?imdi Åye Ol
SIGN_UP_NOW,Kaydol
CLICK_HERE_TO_DOWNLOAD,?imdi ?ndirin
LEFT_CLICK_STIPPLED,Sol t?klama noktal?
RIGHTCLICK_ON_CLEAR,Sa? t?klama Temizle
CLEAR_FLOAT_EFFECT,?effaf Kayd?rma efekti
CLEAR_INSIDE_AND_OUTSIDE_MARGI,?effaf iá ve d?? kenar bo?luklar?
ADD_PAYMENT_METHODS,ôdeme yîntemleri ekleyin
REGISTRATION_OPEN_AWARD,Kay?t aá?k îdÅlÅ
REGISTRATION_REWARD_CURRENCY,Kay?t îdÅl para birimi
COMPARED_TO_THE_PREVIOUS_RECOR,Bir înceki rekor seviyeden
LUCKY_DRAW_OPPORTUNITIES,?ansl? f?rsat áizmek;
CHECK_THE_STATE_WALLET,devlet cÅzdan kontrol
CHECK_SYSTEM_STATUS,Sistem Durumunu Kontrol
THE_LATEST_TRANSACTION_RECORDS,Son ??lemler
MORE_INFORMATION_COMMISSION,Daha fazla gîster
LOAD_PICTURE_SHOW,YÅk film gîsterisi
CLEAR_OBLIGATIONS_SPECIFICATIO,Temizle yÅkÅmlÅlÅkler ?artname
OLD_PASSWORD,Eski ?ifre
OLD_TRADING_PASSWORD,Eski Fon ?ifre:
NEW_MOBILE_PHONE_NUMBER,Yeni cep telefonu numaras?:
TEXT_FORMATTING_ELEMENTS,Metin biáimlendirme elemanlar?
COVERING_THE_COMPLETE_FILE,komple dosyay? kapsayan
DIGITAL_ASSETS_TRANSFERRED_OUT,Dijital varl?klar? Äekilme
DIGITAL_ASSETS_TRANSFERRED,Dijital varl?klar? transfer
DIGITAL_ASSET_INFORMATION,Dijital Varl?k Bilgisi
DIGITAL_ASSET_NAME,Dijital varl?k ad?
PAYMENT_SUCCESSFUL_RETURN,ôdeme ba?ar?l? dînÅ?
PAYMENT_FAILS_TO_RETURN,ôdeme dînÅ? ba?ar?s?z
PROMPT_TEXT_LIST,?stemi metin listesi
BANK_ACCOUNT_WITHDRAWALS,Banka hesap para áekme
STATE_BANK_WITHDRAWALS,Devlet Bankas? para áekme
WITHDRAW_BANK_BRANCH,banka ?ubesine geri áek
WITHDRAW_BANK_CITY,Banka kenti geri áek
WITHDRAW_CAPTION,yaz?s?n? geri áek
RECOMMENDED_GIFT_CURRENCY,ônerilen hediye para
RECOMMENDED_GIFT,ônerilen hediye
INDEX_PARAMETER_SETTINGS,Dizin parametre ayarlar?
VOTES_NEED_TO_DEDUCT,Oy dÅ?eriz gerekir
MOBILE_PHONE_AUTHENTICATION_TI,Cep telefonu do?rulama sÅresi
YOU_ACKNOWLEDGE_THAT_YOU_VOTE,Sen Oy kabul
YOUR_IDENTITY,Kimli?iniz
YOU_HAVE_UPLOADED,YÅkledi?iniz
YOU_MUST_BEGIN_WITH_A_LETTER,Bir harfle ba?lamal?d?r
MICROCHANNEL_REMITTANCE,wechat ôdeme
ICO_IS_NOT_CURRENTLY_,ICO ?u anda mevcut de?ildir
OPEN_MASK_CLOSE,Aá?k maske Kapat
ADVERTISING_USER_MANAGEMENT,Reklam Kullan?c? Yînetimi
CLICK_ON_THE_AD_DETAILS,reklam ayr?nt?lar?n? t?klay?n
MARKET_ASSET_ALLOCATION,Pazar Portfîy Da??l?m?
MARKET_ACTIVITY_REPORT,Piyasa faaliyet raporu
HIGHLIGHT_THE_MENU_ON_THE_LEFT,Soldaki menÅyÅ vurgulay?n
THE_OFFICIAL_CURRENCY_ADDRESS,Resmi para birimi Adresi
REWARD_AMOUNT_OFF_THE_ASSEMBLY,montaj hatt? ôdÅl miktar?
HEADER_TEXT_MESSAGES,Ba?l?k metni mesajlar?
FOUNDATION_DOCUMENT_MODEL,Vak?f belge modeli
LIVE_CHAT_Q__A,Canl? Sohbet Q & A
TYRANT_CURRENCY_CHAT_ROOM,Tyrant para sohbet odas?
PICTURES_CAN_NOT_BE_LOADED,Resimler yÅklenemiyor
FOLLOWUP_AND_SO_ON,bîylece yukar?-izleyin ve
USER_MANAGEMENT_BACKGROUND,Kullan?c? yînetimi arkaplan
SYNTHESIS_OF_EXPENSES_DETAILS,giderler ayr?nt?lar? sentezi
AVAILABLE_FIAT,Mevcut ABD Dolar?:
CANCEL_TWOFACTOR_AUTHENTICATIO,iki faktîrlÅ kimlik do?rulama ?ptal
SENDING_A_REQUEST_LOTTERY,Bir istek piyango gînderme
GET_HOME_SELLERS,ev sat?c?lar? al?n
EXTENDED_DYNAMIC_MENU,Geni?letilmi? dinamik menÅ
CATEGORY_EXPAND_COLLAPSE,Kategori Expand Collapse
SHARE_YOUTUBE,Hisse Youtube
FREEZE_FIAT,Sipari? USD Åzerinde:
GLOBAL_FONT_SIZE,KÅresel yaz? tipi boyutu
INSUFFICIENT,Yetersiz
MIN_ORDER_QTY,Minimum sipari? adet oldu?u
MAX_ORDER_QTY,Maksimum sipari? adet oldu?u
INCORRECT_QTY,Yanl?? Adet
RECHARGE_CAPTION,?arj yaz?s?
MODIFY_TRANSACTION_PASSWORD,De?i?tir Fonu ?ifre
DIGITS_EVERY,"Rakamlar, her"
PRICE_HIGH_TO_LOW,Fiyat? yÅksekten dÅ?Å?e do?ru
PRICE_LOW_TO_HIGH,YÅksek DÅ?Åk Fiyat
TODAY_MONETIZATION,BugÅn para kazanma
TODAY_ALREADY_DRAW,BugÅn zaten áizmek
THE_TOTAL_ASSETS_OF,Toplam ABD dolar?
TRADING_TICKER,Ticaret senedi
OPEN_TRADING_CHAT,Troll Kutusu
TRANSACTION_PASSWORD_SETTINGS,Fon ?ifre ayarlar?
GET_ON_HOME_BUYERS,konut al?c?lar? binin
THE_HIGHEST_POINT_IN_HISTORY,tarihindeki en yÅksek noktas?
THE_NEXT_INTEREST_RATE_RISE_TI,Bir sonraki faiz oran? yÅkselme zaman?
SITE_NOTICE,[Site Bildirimi]
HIGHLIGHT_THE_MAIN_NAVIGATION,Ana navigasyon vurgulay?n
HIGHLIGHT_SIDE_NAVIGATION,Vurgu yan gezinme
ESSENTIAL_PARAMETERS,Temel parametreler
TRANSACTION_PASSWORD,Fon ?ifre
IN_ORDER_TO_HIDE,postu iáin
YOU_CAN_NOT_USE_LOWER,Sen alt kullanamazs?n?z
WITHDRAWAL_FEE,Para áekme Åcreti
REFRESH_CODE,Yenile Kod
PLEASE_ENTER_CONTENT,iáerik girin
POSITIVE_AND_GREATER_THAN,Pozitif ve daha bÅyÅk
NO_DATA_TEMPORARILY,Veri yok geáici olarak
COPY_SUCCESSFUL,Ba?ar?l? kopyala!
PLEASE_ENTER_A_QUANTITY,bir miktar giriniz
ORDER_NUMBER,Sipari? #
DO_NOT_FORGET_ORDER_NUMBER,aktar?l?rken Sipari?i No belirtmeyi unutmay?n do'nt
DATABASE_UPGRADE,Veritaban? YÅkseltme
RECHARGE_AMOUNT,Yeniden tahsilat tutar?
WALLET_SERVER,CÅzdan sunucusu
PLEASE_SELECT_CURRENCY,para birimini seáiniz
ICO_CURRENCY,ICO:
CONFIRM_PASSWORD,?ifreyi Onayla
ACTUAL_NAME,Geráek isim:
CLICK_TOO_OFTEN,Äok s?k t?klay?n
PAYMENT_AMOUNT,ôdeme miktar?:
CURRENCY_OF_PAYMENT,ôdeme Para Birimi:
INTEGER_MULTIPLE_WITHDRAWALS,Birden áekme Tamsay?
RECEIVING_CODES,kodlar?n? alma
UPDATE_COMPLETED,GÅncelleme tamamland?
MESSAGE_INPUT_BOX,Mesaj giri? kutusu
OUT_OF_COMMISSION,Åcretleri geri áekmek iáin:
ID_NUMBER,kimlik Numaras?
REVENUE_RANKINGS,Gelir s?ralamas?
RECOMMENDED_USERS,ônerilen Kullan?c?lar
AA,ad
THE_OFFICIAL_ACCOUNT,Hesap:
SECURE_BROWSER,GÅvenli taray?c?
IF_IT_DOES_NOT,E?er de?ilse
ONLINE_CUSTOMER_SERVICE_NUMBER,Äevrimiái mÅ?teri hizmetleri numaras?
SELLING_FEES,Sat?? bedelleri
FREE_UPGRADE_TO,Åcretsiz iyile?tirme
RECHARGE_WAY,?arj Yîntemi
USD_RECHARGE,Ekleme ABD dolar?
BUY_FEE,AL Åcreti
BANK_CARD_MANAGEMENT,Banka Kart? Yînetimi
PLEASE_ENTER_A_PRICE,LÅtfen bir fiyat girin
TYPE_OF_CERTIFICATE,Belge TÅrÅ:
EXPRESSION_BOX,?fade kutusu
END_TIME,Biti? zaman?:
CUMULATIVE_SUBSCRIBED,Toplam abone
CUMULATIVE_TURNOVER,Toplam ciro
ADMINISTRATOR_MANAGEMENT,Yînetici Yînetimi
LOGIN_PASSWORD,Giri? ?ifresi
BLANK_DOES_NOT_UPDATE,Bo? gÅncelle?tirme yok
TEST_NO_MERCHANTS,Deney No tÅccarlar
EACH_COIN_BONUS,Her sikke ikramiye
THE_LATEST_TRANSACTION_PRICE,Fiyat
DATA_IS_LOADED,Veri yÅklenir
ALIPAY_BINDING,Alipay Ba?lama
TECHNICAL_SCORE,Teknik skor:
YOU_CAN_ALSO,Ayr?ca:
MICROCHANNEL_PUBLIC_NUMBER,Mikro kanal halka say?s?
STARTING_TIME,Ba?lang?á ??zaman?:
APP_RATING,Uygulama De?erlendirme:
CURRENCY_NAME,Para Birimi Ad?
THE_AMOUNT_HAS_BEEN_CREDITED_I,Tutar hesaba yat?r?ld? olmu?tur
MULTIPLE_USERS_,Birden Fazla Kullan?c?
NAME_SYNTHESIS_DETAILS,Ad? sentez ayr?nt?lar?
AVAILABLE_USD,Amerikan Dolar?
RELEASE_TIME,tarih
TO_THE_FINANCIAL_CENTER,maliye
RATING_OUTLOOK,gîrÅnÅm Puanlama:
RECHARGE_MOBILE,?arj Mobil:
ANY_STRING,Herhangi bir dize
CURRENCY_PRICE,Para Fiyat?
VERIFY_AND_ENABLE,Do?rulama ve etkinle?tirme
TOP_BAR_WARNING,öst áubuk uyar?
DIFFICULTY_ADJUSTMENT,Zorluk ayar?
LOCK_SCREEN_PROTECTION,Kilit ekran? koruma
BANK_CARD_NUMBER,A / C Resim
WALLET_ID,CÅzdan Ad?:
WALLET_ADDRESS,CÅzdan adresi
INTRODUCTION_QUANTUM_CHAIN,Giri? kuantum zinciri
IMPORTANT_HINT,ônemli ipucu:
RIO_PRESENTATION_CURRENCY,Rio sunum para birimi
TURN_PROCESSED,áevirin i?lenmi?
OUT_OF_VIRTUAL_CURRENCY,sanal para Äekilme
OUT_QUANTITY,Äekme miktar:
OUT_CURRENCY,Äekilme Para Birimi:
OUT_ADDRESS,Äekilme Adresi
INTO_VIRTUAL_CURRENCY,Mevduat sanal para
NUMBER_OF_TRANSFER,transferi say?s?:
INTO_THE_ADDRESS,Mevduat adresi:
AUTHENTICATOR,?ifrematik
GAN_PUBLIC_ANBEI,Gan kamu Anbei
PURCHASE_QUANTITY,Sat?n alma miktar?
TOTAL_ASSETS_ACCOUNT,Toplam
BUY_SALE,tip
ACCOUNT_BALANCE,Hesap bakiyesi:
GOOGLE_CHROME,Google Chrome
PLEASE_SELECT_PROVINCE,ili seáiniz
PLEASE_CHOOSE_THE_CITY,?ehir seáiniz
PLEASE_SELECT_A,Bir seáiniz
PLEASE_INPUT_YOUR_EMAIL,lÅtfen giri? e-posta
PLEASE_MODIFY_CAUTIOUS,temkinli de?i?iklik yap?n
PLEASE_WAIT_FOR_REVIEW,inceleme iáin LÅtfen bekleyin
PLEASE_BACKSTAGE,LÅtfen kulise
EVALUATION_STARS,De?erlendirme Y?ld?z:
PROOF_WAY,Dayan?kl? yolu
ACCESSING_PHONE,?leti?im numaras?
PHONE_NUMBER,seyyar
APPROVAL_PERIOD,zaman
CERTIFICATION_NAME,Sertifika Ad?:
ORDER_TIME,Sipari? zaman?:
FIGURE_END_MARKET,?ekil sonu pazar
LITECOIN_INTRODUCTION,Litecoin Tan?t?m
ENGLISH_ABBREVIATION,?ngilizce k?saltma
AUTOFILL_PRICE,Otomatik doldurma fiyat
CONTACT_NUMBER,?leti?im numaras?
CONTACT_NAME,Ki?i Ad?:
TRADING_INVESTIGATION,Ticaret soru?turma
WEBSITE_KEYWORD,Web sitesi Kelimeler
NET_MENTION_CURRENCY_ANNOUNCEM,Madeni para duyuru
EDIT_ADMINISTRATOR,DÅzenleme Yînetici
MAINTENANCE_YU_BO,Bak?m:
BINDING_TIME,Zaman Ba?lama:
BINDING_ALIPAY,Cilt Alipay
CUMULATIVE_CHARGES,KÅmÅlatif Åcretleri
HAS_SOLD,Sat?ld?:
THE_CUMULATIVE_TRADING_VOLUME,Toplam i?lem hacmi
ADMINISTRATORS_LIST,Yîneticiler listesi
AFTER_SETTING_LEVEL,Ayar seviyesinde sonra
PENDING_REVIEW,Bekleyen yorum
IMMEDIATELY_TO_UPGRADE,Hemen yÅkseltmek iáin
SEND_SECONDS_AGAIN,Yine saniye Gînder
LOGIN_AUTHENTICATION_CODE,Giri? do?rulama kodu
AUTHORIZED_USER_GROUP,Yetkili Kullan?c? Grubu
DOG_CURRENCY_INTRODUCED,Kîpek para tan?t?ld?
SPECIAL_USER_GROUPS,ôzel Kullan?c? Gruplar?
ADDING_CARD,kart ekleme
ADD_ADMINISTRATOR,Yînetici ekle
ACTIVITY_TIME,Etkinlik sÅresi:
ACTIVITIES_PRIZES,"Etkinlikler, îdÅller:"
THE_TOTAL_NUMBER_OF_REGISTERED,Toplam Kullan?c?
NO_ACCOUNT,Hesap yok?
NO_TIME_TO_FILL,Referans numaras? [Varsa]
INVALID_PHONE_FORMAT,Geáersiz telefon numaras?!
SYSTEM_IN_DEMO_MODE,Bu sistem Demo modunda ?u anda!
INVALID_USERNAME,Kullan?c? ad? biáimi yanl??!
INVALID_NICKNAME,Kullan?c? ad? yanl??!
INVALID_PASSWORD,?ifre do?ru de?il!
INVALID_EMAIL,E-posta biáimi yanl??!
SAVED_SUCCESSFULLY,Ba?ar?yla kaydedildi!
COULD_NOT_SAVE,De?i?iklikleri kaydetmek olamazd?!
INCORRECT_REQ,Geáersiz istek!
INCORRECT_TYPE,Geáersiz Tipi Sa?lanan!
SUCCESSFULLY_DONE,Ba?ar?yla tamamland?!
ADDED_SUCCESSFULLY,Ba?ar?yla Eklendi!
FAILED_TO_ADD,eklenti ba?ar?s?z!
INCORRECT_OLD_PWD,Yanl?? Eski ?ifre!
INCORRECT_NEW_PWD,Yanl?? Yeni ?ifre!
INVALID_OLD_PWD,Geáersiz Eski ?ifre!
INVALID_NEW_PWD,Geáersiz Yeni ?ifre!
LOGIN_PWD_CHANGED,Giri? ?ifre De?i?tirildi
NO_CHANGES_TO_PWD,YOK De?i?iklikler ?ifre yap?lm??t?r
YOU_NEED_TO_LOGIN,LÅtfen giri? yap?n
INVALID_SMS_CODE,Geáersiz SMS Kodu
INCORRECT_SMS_CODE,Yanl?? SMS Kodu
INTRODUCTION_BITS_SHARES,Tan?t?m hisselerini bitleri
BITCOIN_HOUSE,Bitcoin Evi
BILLY_SHARES_INTRODUCTION,Billy Giri? payla?an
ICO_IS_IN,Sat?? á?kt?!
LUCKY_DRAW_CHANCE,?ansl? beraberlik ?ans?
THE_CORE_ALGORITHM,áekirdek algoritma
TAB_NAVIGATION,Sekme navigasyon
FIND_ADMINISTRATOR,Yînetici bul
THE_TOTAL_VALUE_OF_A_CERTAIN_C,Belirli bir para toplam de?eri
NOT_BY_REASON,De?il nedene gîre
SERVER_QUEUE,Sunucu kuyru?u
MAXIMUM_SELL,Maksimum Sat??:
MAXIMUM_BUY,Maksimum Sat?n:
BEST_SELLING_PRICE,?yi Teklif:
BEST_BID,En sor:
UPDATE_THE_DATABASE,veritaban?n? gÅncellemek
SHOW_RECORD_NUMBER,rekor say?da gîster
YESTERDAYS_CLOSING_PRICE,DÅnkÅ kapan?? fiyat?
DIGITAL_JINJIE_SHAO,Dijital Jinjie Shao
STATISTICS_PUT_THE_CODE,?statistik kodu koymak
ALIPAY_HEADED,Alipay ba?l?
ALIPAY_INFORMATION,Alipay Bilgi
SOSO_BITCOIN,soso Bitcoin
THE_AMOUNT_OF_WITHDRAWALS_IS,áekme miktar?d?r
WITHDRAWAL_AMOUNT,Äekilme Tutar
WITHDRAW_ADDRESS,Adres geri áek
RELEASE_DATE,Yay?n tarihi
SORT_BY,Gîre s?rala:
DEDUCT_FEES,DÅ?Årme Åcretleri
OWNED_TRADING,Sahip olunan ticaret
WHERE_THE_PROVINCES,Konum seá:
OR_THE_OUTER_CHAIN,Ya d?? zincir)
I_WAS_SPEAKING_TWO,Benim gîrÅ?Åm
YOU_ARE_CURRENTLY_AVAILABLE,Denge:
FORGET_PASSWORD,Parolan?z? m? unuttunuz?
WECHAT_QR_CODE,QR kodu Wechat
ZHANG_CERTIFICATION_PICTURES,KYC GîrÅntÅleri
BANK,Banka
ACCOUNT_PROVINCES,ölke:
BRANCH_ACCOUNT,?ube:
ACCOUNT_NAME,Hesap ad?:
TOTAL_ADVERTISING_PROFITS,Toplam reklam karlar?
CURRENCY_PEOPLE_ARE_SAYING,yorumlar
HAVE_AN_ACCOUNT,Hesab?n var m??
THE_ITALIC_RIGHTING,italik do?rulma
IMPORTED_CONTENT,?thal iáerik
IMPORT_FORMAT,?thalat biáimi:
IMPORT_DATABASE,?thalat Veritaban?
SAFE_AND_SECURE,GÅvenli
NOTE_NAME,Not ad?:
BACKUP_DATABASE,Yedek veritaban?
ADDRESS_MARK,Adres i?areti
REMARK,dÅ?Ånce
CATEGORIES,Kategoriler:
COMMODITY_PRICES,Mal fiyatlar?:
CYCLE_WITHIN_LIMITS,s?n?rlar iáinde DîngÅsÅ
START_PAGE_PICTURE,Ba?lang?á ??sayfas? resim
CAN_BE_EXTRACTED_AT_ANY_TIME,Herhangi bir zamanda elde edilebilir
ONLY_DUE_TO_TAKE,almaya Sadece nedeniyle
FILL_ONLY_NUMBERS,Sadece rakam doldurun
THE_TOTAL_ISSUED,Kayna??n? SirkÅlasyon
KARAT_INTRODUCTION,Karat Tan?t?m
SELL_??RATIO,Sat?? oran?:
NUMBER_SOLD,Numara sat?lan:
SALE_NUMBER,Sat?? ADET:
SELL_??PRICE,Sat?? fiyat?:
BLOCK_SPEED,Blok h?z
BLOCK_BONUS,Blok Bonus:
ANALYTICAL_FUNCTION,Analitik fonksiyon
FREEZE_USD,In Ticaret
BAXI_DIGITAL_NETWORK,Baxi Dijital A??
YUAN_DEBIT_CARDS,"Yuan, banka kartlar?"
BIT_AND_CONFIRM,Bit ve onaylay?n
EXCELLENT_PRESENTATION_CURRENC,MÅkemmel sunum para damla
ON_BEHALF_OF_NOT_WINNING,kazanmak de?il ad?na
PAYMENT_METHOD,ôdeme ?ekli
PAYMENT_CURRENCY,ôdeme Para Birimi:
CASH_WITHDRAWAL,ABD dolar? geri áek
TRANSACTION_HOUR,i?lem saat
BUY_RATIO,Sat?n oran?:
BUY_QUANTITY,Sat?n Adet:
PLEASE_LOGIN,LÅtfen înce giri? yap?n!
BUY_PRICE,Sat?n Fiyat:
KEY_FEATURES,Ana ôzellikler
EXCLUSIVE_INVITATION_CODE,MÅnhas?r davet kodu
EXCLUSIVE_PROMOTION_OF_LANGUAG,Dilin MÅnhas?r tan?t?m
EXCLUSIVE_ADVERTISING_SLOGAN,MÅnhas?r reklam slogan?
SHORTCOMINGS,eksiklikleri:
DO_NOT_AUTOMATICALLY_SHUT_DOWN,otomatik olarak kapan?r etmeyin
IT_DOES_NOT_SHOW_THE_MASK,Bu maskeyi gîstermiyor
DO_NOT_DISPLAY_PRICES,fiyatlar? gîsterme
DOWNLOAD_THE_UPDATE_PACKAGE,GÅncelle?tirme paketini indirin
PULLDOWN_BAR_STYLE,Aá?lan bar tarz?
ADDED_TIME,Eklenen sÅresi:
ON_THREE_DIVIDENDS,öá kar Åzerinde
WARNINGS,Uyar?lar
HIGHLIGHT_NAVIGATION,Vurgu navigasyon
SUBMIT_FORM,Formu gînder
SEARCH_FUNCTION,Arama fonksiyonu
ENTER_SEARCH,arama girin
TIPS,?puálar?
MENU_HIGHLIGHTS,MenÅ olaylar?
VIEW_DESCRIPTION,GîrÅnÅm Aá?klama
FINANCIAL_CENTER,Finans merkezi
ADD_TIME,Zaman ekle
SECURITY_CENTER,Hesab?m
ALL_STATES,TÅm devletler
MENU_ON_THE_LEFT,Soldaki MenÅ
RIGHT_OF_THE_CONTENT,iáerik Sa?
SEND_DATA,Gînder veri
UPLOAD_ERROR,YÅkleme hatas?
NORMAL_STATUS,Normal durum
FROZEN_STATE,Dondurulmu? devlet
VERIFIED,Do?rulanm??
REAL_NAME_CAN_NOT_BE_CHANGE,Geráek Ad? Äekilme hesab?yla ayn? gerekiyor ve daha sonra de?i?tirilemez
KYC,KYC
SECURITY,GÅvenlik
INVITE_CODE,Kod Davet
APPLICATION_CENTER,Uygulama Merkezi
PROCESSING,Ko?u
BAZAAR_COMMISSIONED,Äar?? devreye
ACCESS_AUTHORIZATION,Eri?im yetkilendirme
ICO_RECORD,ICO rekor
ICO_CENTER,ICO Merkezi
EDIT_TIME,DÅzenleme zaman?
MONEY_NAME,Para Ad
SHIPPING_ADDRESS,Teslimat adresi
OPERATING_TIME,Operasyon zaman?
MY_TRADING,Benim ticaret
ICON_ADDRESS,Simge Adresi
THE_STATION'S_RECORD,?stasyonun rekor
ARTIFICIAL_ARRIVAL,Yapay geli?
DO_NOT_FILL,doldurmay?n
ACCOUNT_WITHDRAWALS,Hesap Äekilme
THANK_YOU_FOR_PARTICIPATION,Kat?l?m?n?z iáin te?ekkÅrler
ICO_NAME,ICO ad?
AUTO_UPDATE,otomatik gÅncelleme
CONFIRM_THE_ACCOUNT,hesap
USER_REGISTRATION,kay?t
FINANCIAL_RECORDS,Finansal kay?tlar
MEMBERS_OF_THE_AUTHORIZED,yetkili Åyeleri
REMARKS_NAME,Ad? Aá?klamalar
THE_REMAINING_AMOUNT,Kalan miktar
SUCCESSFUL_RECHARGE,Ba?ar?l? ?arj?
SECURITY_CODE,GÅvenlik Kodu
LOG_IN_IMMEDIATELY,Oturum aá
WITHDRAWALS_RECORD,Para áekme rekoru
DIVIDEND_CENTER,TemettÅ Merkezi
MARKET_PLACE,pazar yeri
FINANCIAL_SECURITY,Finansal gÅvenlik
ACCOUNT_FUNDING,Hesap ?arj
LOG_IN,Oturum aá
THAWING_TIMES,áîzÅlme sÅreleri
IMMEDIATE_PAYMENT,An?nda îdeme
MONEY_CURRENCY,para birimi
FINANCIAL_PERIOD,Mali dînem
